Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CAG,"Conagra Brands Inc",34.7,-1.11,-3.10%,35.74,35.85,34.62,3317358,09/10/20
CAH,"Cardinal Health",48.54,-1,-2.02%,49.31,49.55,48.51,2131589,09/10/20
CAI,"Cai International",21.94,0.34,+1.57%,21.51,22.02,21.36,77591,09/10/20
CAKE,"Cheesecake Fact",29.65,-1.39,-4.48%,31.13,31.55,29.59,1481790,09/10/20
CAL,"Caleres Inc",9.07,-0.21,-2.26%,9.22,9.55,9.06,586050,09/10/20
CALA,"Calithera Biosci Com",3.56,-0.07,-1.93%,3.62,3.7,3.53,270055,09/10/20
CALM,"Cal-Maine Foods IN",38.23,-0.4,-1.04%,38.62,38.9,38.21,237698,09/10/20
CALX,"Calix Inc",18.68,-0.3,-1.58%,19.2,19.48,18.56,511114,09/10/20
CAMP,"Calamp Corp",8.36,0.06,+0.72%,8.38,8.52,8.3,183579,09/10/20
CAR,"Avis Budget Group",34.35,-0.06,-0.17%,34.86,35.74,34.15,1167385,09/10/20
CARA,"Cara Therapeutics",15.11,-0.49,-3.14%,15.64,15.93,15.07,325380,09/10/20
CARE,"Carter Bank&Tr [Va]",6.89,-0.06,-0.86%,6.99,7,6.84,63383,09/10/20
CARG,"Cargurus Inc Cl A",23.07,-0.6,-2.51%,23.78,24.24,23.03,1024333,09/10/20
CARR,"Carrier Global Corporation [Carr/I]",29.14,-0.99,-3.29%,29.9,30.01,28.58,9076370,09/10/20
CARS,"Cars.com Inc",8.28,0.02,+0.24%,8.32,8.52,8.26,623227,09/10/20
CASA,"Casa Systems Inc",4.34,-0.03,-0.69%,4.38,4.49,4.33,135872,09/10/20
CASH,"Meta Financial Group",17.98,-0.17,-0.94%,18.13,18.63,17.96,132869,09/10/20
CASI,"Casi Phrmactcls Inc",1.61,0.04,+2.55%,1.59,1.67,1.57,287910,09/10/20
CASS,"Cass Information Sys",37.65,-0.07,-0.19%,37.93,38.19,37.24,38211,09/10/20
CASY,"Casey's General Stor",177.08,6.82,+4.01%,174,179.81,172.01,454817,09/10/20
CAT,"Caterpillar Inc",149.86,-2.83,-1.85%,152.01,153.25,148.75,3675960,09/10/20
CATC,"Cambridge Bancorp",52.8,-1.3,-2.40%,54.1,54.79,52.69,8809,09/10/20
CATM,"Cardtronics Inc",19.68,-0.22,-1.11%,20,20.4,19.67,499898,09/10/20
CATO,"Cato Corp",8.79,0.18,+2.09%,8.62,8.88,8.51,352515,09/10/20
CATY,"Cathay Genl Bncp",23.18,-0.32,-1.36%,23.6,23.75,23.14,349396,09/10/20
CB,"Chubb Ltd",119.23,-2.99,-2.45%,122.69,123.54,119.08,1791562,09/10/20
CBAY,"Cymabay Therapeutics",5.88,-0.07,-1.26%,5.99,6.39,5.82,1321866,09/10/20
CBB,"Cincinnati Bell Inc",15.07,-0.01,-0.07%,15.08,15.09,15.06,499123,09/10/20
CBMG,"Cellular Biomedicine",18.28,-0.17,-0.92%,18.44,18.44,18.13,75618,09/10/20
CBOE,"CBOE Global Markets Inc",87.09,-2.86,-3.18%,90.03,90.8,87.07,1029950,09/10/20
CBRE,"CBRE Group Inc",47.52,-1.01,-2.08%,48.91,48.91,47.42,1163874,09/10/20
CBRL,"Cracker Barrel",137.1,0.96,+0.71%,136.85,139.65,136.18,498400,09/10/20
CBSH,"Commerce Bancshares",55.54,-0.96,-1.70%,56.92,56.93,55.46,330341,09/10/20
CBT,"Cabot Corp",37.91,-0.5,-1.30%,38.56,38.89,37.89,263495,09/10/20
CBTX,"Cbtx Inc",16.69,1.5,+9.87%,15.6,16.93,15.6,107278,09/10/20
CBU,"Community Bank System",58.67,-0.45,-0.76%,59.35,59.72,58.66,229178,09/10/20
CBZ,"Cbiz Inc",22.59,-0.5,-2.17%,23.05,23.26,22.51,152128,09/10/20
CC,"Chemours Company",20.52,-0.21,-1.01%,21,21.13,20.51,1024627,09/10/20
CCB,"Coastal Financial Corp",14.78,0.51,+3.57%,14.46,14.78,14.19,15474,09/10/20
CCBG,"Capital City Bank Gr",19.72,0.04,+0.20%,19.96,20.15,19.61,27056,09/10/20
CCF,"Chase Corp",97.17,-1.31,-1.33%,98.35,98.64,97.17,11536,09/10/20
CCI,"Crown Castle International Corp",158.76,-2.53,-1.57%,160.67,161.09,158.65,1891817,09/10/20
CCK,"Crown Cork & Seal Company",74.56,-0.94,-1.25%,75.7,76.48,74.21,555601,09/10/20
CCL,"Carnival Corp",17.88,0.22,+1.25%,17.8,18.75,17.8,36408648,09/10/20
CCMP,"Cabot Microelectron",144.43,-0.47,-0.32%,145.16,155.39,144.32,103072,09/10/20
CCNE,"Cnb Financial Corp",15.36,-0.27,-1.73%,15.56,15.67,15,103981,09/10/20
CCOI,"Cogent Comm Hlds",65.43,-0.36,-0.55%,65.5,66.99,65.09,335744,09/10/20
CCRN,"Cross Ctry Hlthcr",6.06,0.04,+0.66%,6.04,6.23,5.95,308283,09/10/20
CCS,"Century Communities Inc",38.24,-0.16,-0.42%,38.54,39.63,38.21,297774,09/10/20
CCXI,"Chemocentryx Inc",47.38,-1.29,-2.65%,48.86,50.13,46.82,498781,09/10/20
CDAY,"Ceridian Hcm Holding Inc",76.23,-1.51,-1.94%,78.19,79.38,75.7,812849,09/10/20
CDE,"Coeur Mining Inc",7.98,0.07,+0.88%,8.08,8.47,7.96,5706035,09/10/20
CDK,"Cdk Global Inc",43.83,-1.02,-2.27%,44.94,45.38,43.71,735851,09/10/20
CDLX,"Cardlytics Inc",69.59,0.07,+0.10%,70.32,74.54,68.46,503265,09/10/20
CDMO,"Avid Bioservices Inc",7.27,-0.13,-1.76%,7.4,7.55,7.21,300191,09/10/20
CDNA,"Caredx Inc",33.21,0.14,+0.42%,33.08,34.31,33.08,336082,09/10/20
CDNS,"Cadence Design Sys",102.22,-2.12,-2.03%,104.52,105.81,101.54,1279182,09/10/20
