Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CRTX,"Cortexyme Inc",48.38,1.13,+2.39%,47.81,48.84,47.5,134088,09/10/20
CRUS,"Cirrus Logic Inc",57.37,0.67,+1.18%,58.18,58.96,57.02,625087,09/10/20
CRVL,"Corvel Cp",85.4,-0.77,-0.89%,86.2,86.61,85,63484,09/10/20
CRWD,"Crowdstrike Holdings Inc",129.35,1.17,+0.91%,130.28,134.05,128.4,6495896,09/10/20
CRY,Cryolife,17.33,-0.77,-4.25%,18.15,18.15,17.3,279418,09/10/20
CSCO,"Cisco Systems Inc",39.57,-0.56,-1.40%,40.03,40.63,39.42,24875813,09/10/20
CSGP,"Costar Group Inc",792.77,-10.74,-1.34%,809.01,817.5,780.93,199072,09/10/20
CSGS,"C S G Sys Intl",39.13,0.14,+0.36%,39.04,39.51,38.74,180858,09/10/20
CSII,"Cardiovascular Syst",33.6,0.1,+0.30%,33.61,34.35,33.38,329784,09/10/20
CSL,"Carlisle Companies Inc",121.23,-3.07,-2.47%,124.5,124.93,120.78,328233,09/10/20
CSOD,"Cornerstone Ondemand",35.01,0.35,+1.02%,35,35.75,34.69,683277,09/10/20
CSTE,"Caesarstone Sdot-Yam",10.33,-0.14,-1.34%,10.45,10.57,10.3,40596,09/10/20
CSTL,"Castle Biosciences Inc",48.99,-1.1,-2.20%,50.71,50.8,48.23,262170,09/10/20
CSTR,"Capstar Financial Holdings Inc",10.45,-0.55,-5.00%,10.92,10.92,10.36,36646,09/10/20
CSV,"Carriage Services",21.29,-0.61,-2.79%,21.9,22.09,21.27,157101,09/10/20
CSWI,"Csw Industrials Inc",75.05,0.76,+1.02%,73.97,75.55,73.97,58269,09/10/20
CSX,"CSX Corp",75.82,-0.84,-1.10%,76.35,77,75.28,3704465,09/10/20
CTAS,"Cintas Corp",317.48,-8.45,-2.59%,325.84,325.93,314.83,464067,09/10/20
CTB,"Cooper Tire & Rubber Company",34.82,-0.68,-1.92%,35.93,36,34.71,268379,09/10/20
CTBI,"Community TR Bancp",30.88,-0.36,-1.15%,31.31,31.46,30.85,50276,09/10/20
CTL,Centurylink,10.55,-0.31,-2.85%,10.93,10.96,10.49,13419219,09/10/20
CTLT,"Catalent Inc",83.88,-0.92,-1.08%,84.88,86.39,83.37,1362964,09/10/20
CTMX,"Cytomx Thera",6.86,0.04,+0.59%,6.84,6.99,6.81,627428,09/10/20
CTO,"Consolidated-Tomoka Land Company",44.29,0.24,+0.54%,44.29,44.6,43.68,13012,09/10/20
CTRE,"Caretrust REIT Inc",19.13,-0.17,-0.88%,19.39,19.74,19.04,523917,09/10/20
CTRN,"Citi Trends Inc",23.16,0.18,+0.78%,23.27,23.59,22.78,179759,09/10/20
CTS,"Cts Corp",20.27,-0.1,-0.49%,20.57,20.57,20.12,113575,09/10/20
CTSH,"Cognizant Tech Sol",65.56,-0.85,-1.28%,66.31,67.67,65.36,2679141,09/10/20
CTSO,"Cytosorbents Cor",7.91,0.13,+1.67%,7.77,8.11,7.73,303583,09/10/20
CTT,"Catchmark Timber Trust Inc",9.34,-0.17,-1.79%,9.53,9.6,9.33,196024,09/10/20
CTVA,"Corteva Inc",29.14,0.4,+1.39%,28.72,29.26,28.69,4124756,09/10/20
CTXS,"Citrix Systems Inc",134.88,-6.65,-4.70%,140.45,142.45,134.16,1996106,09/10/20
CUB,"Cubic Corp",42.65,-1.21,-2.76%,44.24,44.45,42.59,447746,09/10/20
CUBE,Cubesmart,32.25,0.14,+0.44%,32.04,32.49,31.8,845646,09/10/20
CUBI,"Customers Bancorp",12.01,-0.01,-0.08%,12.05,12.31,11.97,117928,09/10/20
CUE,"Cue Biopharma Inc",16.52,-0.17,-1.02%,16.83,17.62,16.46,226647,09/10/20
CURO,"Curo Group Holdings Corp",7.27,-0.15,-2.02%,7.42,7.72,7.25,309946,09/10/20
CUTR,"Cutera Inc",17.13,0.12,+0.71%,17.1,17.69,16.93,201877,09/10/20
CUZ,"Cousins Properties Inc",28.44,-0.45,-1.56%,28.84,28.99,28.41,831068,09/10/20
CVA,"Covanta Holding Corp",8.38,-0.19,-2.22%,8.55,8.57,8.3,1081335,09/10/20
CVBF,"Cvb Financial Corp",17.15,-0.2,-1.15%,17.4,17.47,17.01,487024,09/10/20
CVCO,"Cavco Inds Inc",183.79,-0.78,-0.42%,184.01,185.85,182.71,33213,09/10/20
CVCY,"Central Vly Cmty Bcp",11.92,-0.09,-0.75%,12.05,12.08,11.87,18279,09/10/20
CVET,"Covetrus Inc",20.18,-0.39,-1.90%,20.81,21.42,20.14,654824,09/10/20
CVGW,"Calavo Growers Inc",65.84,0.84,+1.29%,65.01,66.58,64.64,151353,09/10/20
CVI,"Cvr Energy Inc",13.65,-0.26,-1.87%,13.9,13.97,13.12,1313078,09/10/20
CVLG,"Covenant Logistics Group Inc.",17.14,-0.47,-2.67%,17.71,17.8,16.86,76863,09/10/20
CVLT,"Commvault Systems",39.67,-0.51,-1.27%,40.47,40.79,39.55,282100,09/10/20
CVLY,"Codorus Valley Bncp",13,0,0.00%,13.16,13.26,12.81,7517,09/10/20
CVM,"Cel-Sci Corp",13.74,-0.06,-0.43%,13.72,14.14,13.61,384483,09/10/20
CVNA,"Carvana Co. Cl A",178.63,-1.23,-0.68%,180.72,184.93,177.31,1825388,09/10/20
CVS,"CVS Corp",58,-1.53,-2.57%,59.44,59.65,57.96,10056761,09/10/20
CVX,"Chevron Corp",78.15,-1.88,-2.35%,80.63,80.89,78.05,11830170,09/10/20
CW,"Curtiss-Wright Corp",93.31,-3.56,-3.68%,97.51,97.82,93.12,245476,09/10/20
CWCO,"Cons Water Co. Inc",11.13,-0.04,-0.36%,11.2,11.49,11.04,70516,09/10/20
CWEN,"Clearway Energy Inc Cl C",23.07,-0.49,-2.08%,23.55,23.57,23.05,290321,09/10/20
CWE.A,"Clearway Energy Inc Cl A",21.49,-0.55,-2.50%,21.94,21.98,21.48,126515,09/10/20
CWH,"Camping World Holdings Inc",35.25,-0.26,-0.73%,35.12,36.33,34.82,3427347,09/10/20
CWK,"Cushman & Wakefield Plc",11.02,-0.72,-6.13%,11.69,11.74,11.02,764469,09/10/20
CWST,"Casella Waste Sys",54.77,-1.15,-2.06%,56.08,56.12,54.75,198823,09/10/20
CWT,"California Water Service Group Holding",44.26,-0.66,-1.47%,45.03,45.04,44.24,232114,09/10/20
CXO,"Concho Resources Inc",45.49,-3.31,-6.78%,49.01,49.01,45.37,2426537,09/10/20
CXP,"Columbia Property Trust Inc",11.21,-0.33,-2.86%,11.52,11.53,11.2,519810,09/10/20
CXW,"Corecivic Inc",9.06,-0.34,-3.62%,9.35,9.37,9.02,968687,09/10/20
CYBE,"Cyberoptics Cp",30.46,-0.13,-0.42%,30.84,31.47,30.4,60085,09/10/20
CYCN,"Cyclerion Therapeutics Inc",6.63,0.14,+2.16%,6.48,7.15,6.48,173043,09/10/20
CYH,"Community Health Systems",4.76,0.1,+2.15%,4.67,4.84,4.61,1193307,09/10/20
CYRX,"Cryoport Inc",54.7,0.2,+0.37%,55.26,58.42,54.49,557766,09/10/20
CYTK,Cytokinetics,22.79,-0.09,-0.39%,22.85,23.34,22.63,644071,09/10/20
CZNC,"Citizens Nrthn Cp",16.85,0.12,+0.72%,16.72,17.01,16.61,19041,09/10/20
CZR,"Caesars Entertainment Inc",50.74,0.46,+0.91%,50.62,53.21,50.58,4028495,09/10/20
D,"Dominion Resources",78.73,-0.91,-1.14%,79.25,79.7,78.24,3732550,09/10/20
DAKT,"Daktronics Inc",4.25,0.04,+0.95%,4.24,4.28,4.21,154264,09/10/20
DAL,"Delta Air Lines Inc",31.79,0.03,+0.09%,32.18,32.71,31.67,17607854,09/10/20
DAN,"Dana Inc",13.97,-0.41,-2.85%,14.59,14.82,13.94,1177979,09/10/20
DAR,"Darling International Inc",33.95,0.01,+0.03%,34,34.68,33.75,1814659,09/10/20
DBD,"Diebold Nixdorf Inc",7.73,-0.24,-3.01%,8.02,8.13,7.67,701340,09/10/20
DBI,"Designer Brands Inc",5.98,-0.21,-3.39%,6.23,6.4,5.98,1659949,09/10/20
DBX,"Dropbox Inc",19.76,-0.59,-2.90%,20.4,20.72,19.75,4142577,09/10/20
DCI,"Donaldson Company",47.75,0.22,+0.46%,47.65,48.22,47.51,760238,09/10/20
DCO,"Ducommun Inc",35.06,-1.3,-3.58%,36.37,36.82,34.92,56678,09/10/20
DCOM,"Dime Community Bncsh",12.55,-0.36,-2.79%,12.97,13,12.55,262934,09/10/20
DCPH,"Deciphera Pharmaceuticals Inc",44.18,-2.64,-5.64%,47.27,49.44,44.17,686932,09/10/20
DD,"Du Pont De.Nemours Inc",57.73,-0.2,-0.35%,58.11,58.58,57.59,4138668,09/10/20
DDD,"3D Systems Corp",5.33,-0.07,-1.30%,5.39,5.57,5.31,2239800,09/10/20
DDOG,"Datadog Inc Cl A",80.67,-1.31,-1.60%,82.2,84.55,80.29,2943906,09/10/20
DDS,Dillard's,32.88,-0.64,-1.91%,33.24,34.25,32.82,415836,09/10/20
DE,"Deere & Company",215.11,-0.41,-0.19%,215.92,218.23,213.61,1836847,09/10/20
DEA,"Easterly Government Properties",23.75,-0.81,-3.30%,24.42,24.42,23.71,587586,09/10/20
DECK,"Deckers Outdoor Corp",198.29,-4.68,-2.31%,204.44,205.77,197.7,317025,09/10/20
DEI,"Douglas Emmett",27,-0.1,-0.37%,27.01,27.22,26.75,1383681,09/10/20
DELL,"Dell Technologies Inc",65.44,-1.4,-2.09%,67.08,67.32,65.04,2007891,09/10/20
DENN,"Dennys Corp",11.08,0.16,+1.47%,10.9,11.44,10.9,1268403,09/10/20
DFIN,"Donnelly Financial Solutions Inc",11.06,-0.07,-0.63%,11.2,11.49,11.04,341602,09/10/20
DFS,"Discover Financial Services",54.07,-0.97,-1.76%,55.51,56.94,53.89,1979500,09/10/20
DG,"Dollar General Corp",197.12,-0.33,-0.17%,197.45,200.35,196.73,1826701,09/10/20
DGICA,"Donegal Group Cl A",14.65,-0.07,-0.48%,14.74,14.74,14.38,46734,09/10/20
DGII,"Digi Intl Inc",14.27,0.74,+5.43%,13.62,14.34,13.59,308862,09/10/20
DGX,"Quest Diagnostics Inc",110.5,3.45,+3.22%,109.69,111.93,109.3,1889488,09/10/20
DHC,"Diversified Healthcare Trust",4.01,0.15,+3.89%,3.89,4.08,3.86,1530212,09/10/20
DHI,"D.R. Horton",69.73,-0.34,-0.49%,70.05,71.48,69.44,3034625,09/10/20
DHIL,"Diamond Hill Inv",122.07,-1.68,-1.36%,123.3,123.67,122.07,9160,09/10/20
DHR,"Danaher Corp",203.09,1.15,+0.57%,203,206.34,202.84,2408139,09/10/20
DHT,"Dht Holdings",5.37,0.02,+0.37%,5.36,5.39,5.27,2729094,09/10/20
DHX,"Dice Holdings",2.58,-0.02,-0.77%,2.63,2.64,2.56,49388,09/10/20
DIN,"Dineequity Inc",61.71,1.77,+2.95%,60.09,62.53,60.09,372824,09/10/20
DIOD,"Diodes Inc",48.04,-0.08,-0.17%,48.55,48.67,47.64,289179,09/10/20
DIS,"Walt Disney Company",133.22,-0.14,-0.10%,133.58,136.75,132.74,9807101,09/10/20
DISCA,"Discovery Comm A",23.45,0.39,+1.69%,23.23,23.8,23.23,5316576,09/10/20
DISCK,"Discovery Comm Inc",21.15,0.23,+1.10%,21.08,21.48,21.07,3106621,09/10/20
DISH,"Dish Network Corp",32.09,-1.08,-3.26%,33.34,33.59,32.05,2644295,09/10/20
DJCO,"Daily Journal Cp",252,-16.1,-6.01%,260,269.02,252,3260,"16:01 ET"
DK,"Delek US Holdings",12.15,-0.69,-5.37%,12.84,12.88,12.14,2197272,09/10/20
DKS,"Dick's Sporting Goods Inc",55.89,-0.49,-0.87%,56.37,57.72,55.81,2576127,09/10/20
DLB,"Dolby Laboratories",64.77,-1.26,-1.91%,66.46,66.57,64.59,380388,09/10/20
DLR,"Digital Realty Trust",145.63,-1.95,-1.32%,147.11,148.54,145.45,928119,09/10/20
DLTH,"Duluth Hld Cl B",12.8,0.69,+5.70%,12.21,13.24,12.17,719042,09/10/20
DLTR,"Dollar Tree Inc",90.25,-1.56,-1.70%,91.52,91.98,89.75,1997054,09/10/20
DLX,"Deluxe Corp",26.69,-0.31,-1.15%,27.24,27.42,26.67,195263,09/10/20
DMRC,"Digimarc Corp",17.97,-0.32,-1.75%,18.56,18.74,16.93,94545,09/10/20
DNKN,"Dunkin' Brands Group",75.93,0.2,+0.26%,76.02,77.73,75.72,653498,09/10/20
DNLI,"Denali Therapeutics Inc",32.07,0.51,+1.62%,31,33.67,31,695231,"16:23 ET"
DNOW,"Now Inc",5.85,-0.44,-7.00%,6.3,6.3,5.85,1014803,09/10/20
DOC,"Physicians Realty Trust",18.49,-0.22,-1.18%,18.66,18.83,18.48,1234082,09/10/20
DOCU,"Docusign Inc",205.95,-5.84,-2.76%,214.3,217.25,203.53,6025580,09/10/20
DOMO,"Domo Inc Cl B",39.55,-0.41,-1.03%,40.35,42.76,39.29,675511,09/10/20
DOOR,"Masonite Worldwide Hld",91.09,-2.09,-2.24%,91.37,93.97,90.93,141758,09/10/20
DORM,"Dorman Products Inc",84.91,0.88,+1.05%,84.71,85.68,84.2,125560,09/10/20
DOV,"Dover Corp",110.88,-0.63,-0.56%,111.52,112.51,110.81,862884,09/10/20
DOW,"Dow Inc",48.7,-0.53,-1.08%,49.3,49.75,48.66,4205451,09/10/20
DOX,"Amdocs Ltd Ord",57.04,-0.31,-0.54%,57.44,58.06,56.94,854976,09/10/20
DPZ,"Domino's Pizza Inc",388.97,6.9,+1.81%,383.94,395.18,383.13,683006,09/10/20
DRE,"Duke Realty Corp",37.5,-0.42,-1.11%,37.87,38,37.47,1885121,09/10/20
DRH,"Diamondrock Hospitality Company",5.29,-0.11,-2.04%,5.4,5.54,5.28,1048257,09/10/20
DRI,"Darden Restaurants",89.95,1.37,+1.55%,88.57,91.24,88.51,1725530,09/10/20
DRNA,"Dicerna Pharmaceutic",17.5,-0.32,-1.80%,17.82,18.15,17.36,500885,09/10/20
DRQ,Dril-Quip,30.14,-1.59,-5.01%,31.88,31.97,29.96,210312,09/10/20
DRRX,"Durect Corp",1.61,-0.03,-1.83%,1.66,1.7,1.6,648047,09/10/20
DSKE,"Daseke Inc",6.02,0.34,+5.99%,5.7,6.07,5.67,245316,09/10/20
DSPG,"D S P Group Inc",13.49,-0.34,-2.46%,14.02,14.04,13.49,164416,09/10/20
DSSI,"Diamond S Shipping Inc",8.24,0.17,+2.11%,8.07,8.25,8.05,159329,09/10/20
DT,"Dynatrace Inc",39.11,-0.9,-2.25%,40.25,41,38.95,1982359,09/10/20
DTE,"Dte Energy Company",117.92,-1.79,-1.50%,119.26,119.93,117.8,718659,09/10/20
DTIL,"Precision Biosciences Inc",5.38,-0.03,-0.55%,5.41,5.74,5.34,452028,09/10/20
DUK,"Duke Energy Corp",82,-0.59,-0.71%,82.22,82.73,81.41,3572099,09/10/20
DVA,"Davita Healthcare Partners Inc",87.59,-0.38,-0.43%,88.21,89.12,87.48,1054481,09/10/20
DVAX,"Dynavax Technologies",5,-0.01,-0.20%,4.98,5.25,4.82,3502066,09/10/20
DVN,"Devon Energy Corp",8.87,-0.71,-7.41%,9.58,9.69,8.86,12114031,09/10/20
DX,"Dynex Capital",15.48,-0.26,-1.65%,15.78,15.78,15.45,365344,09/10/20
DXC,"Dxc Technology Company",19.58,-0.52,-2.59%,20.51,20.56,19.42,2383732,09/10/20
DXCM,Dexcom,390.02,-11.66,-2.90%,405.33,405.67,388.55,789103,09/10/20
DXPE,"Dxp Enterprise",17.9,-1.6,-8.21%,19.6,19.6,17.88,98785,09/10/20
DY,"Dycom Industries",55.38,-1.22,-2.16%,57.02,57.46,54.1,367167,09/10/20
DZSI,"Dasan Zhone Solutions Inc",9.82,-0.29,-2.87%,10.12,10.35,9.73,46756,09/10/20
EA,"Electronic Arts Inc",127.26,-1.44,-1.12%,129.88,131.13,126.34,2442712,09/10/20
EAF,"Graftech International Ltd",6.14,-0.21,-3.31%,6.36,6.46,6.13,1716722,09/10/20
EAT,"Brinker International",44.41,0.26,+0.59%,44.5,45.99,44.36,1492191,09/10/20
EB,"Eventbrite Inc",11.81,-0.24,-1.99%,12.15,12.7,11.61,1329862,09/10/20
EBAY,"Ebay Inc",52.32,-1.12,-2.10%,53.72,54.6,52.03,7069125,09/10/20
EBF,"Ennis Inc",17.61,-0.08,-0.45%,17.78,17.83,17.6,69802,09/10/20
EBIX,"Ebix Inc",19.77,-1.07,-5.13%,21.09,21.4,19.74,530924,09/10/20
EBS,"Emergent Biosolutions",99,-5,-4.81%,104,104.49,98.92,635048,09/10/20
EBSB,"Meridian Bncp",11.19,0.05,+0.45%,11.2,11.31,11.13,124265,09/10/20
EBTC,"Enterprise Bancorp",21.06,-0.29,-1.36%,21.53,21.54,21.02,8052,09/10/20
ECHO,"Echo Global Logistic",27.77,0.48,+1.76%,27.47,27.81,27.17,203896,09/10/20
ECL,"Ecolab Inc",201.87,-1.13,-0.56%,204.24,205.62,201.46,824796,09/10/20
ECOL,"US Ecology Inc",37.31,0.07,+0.19%,37.36,37.8,36.76,327468,09/10/20
ECOM,"Channeladvisor Corp",14.3,0.01,+0.07%,14.36,15,14.29,659688,09/10/20
ECPG,"Encore Capital Group",41.13,-1.16,-2.74%,42.43,43.35,40.49,483264,09/10/20
ED,"Consolidated Edison Company of New York",72.77,-0.14,-0.19%,72.63,74.25,71.68,8385297,09/10/20
EDIT,"Editas Medicine",30.4,-0.55,-1.78%,31.18,32.5,30.14,909359,09/10/20
EEFT,"Euronet Worldwide",91.3,-2.45,-2.61%,94.53,95.32,91.11,471932,09/10/20
EEX,"Emerald Expositions Events Inc",2.5,-0.05,-1.96%,2.56,2.56,2.48,130562,09/10/20
EFC,"Ellington Financial Llc",12.26,-0.21,-1.68%,12.48,12.65,12.25,203534,09/10/20
EFSC,"Enterprises Finl Svc",29.36,-0.57,-1.90%,30,30.26,29.34,112911,09/10/20
EFX,"Equifax Inc",161.69,-6.01,-3.58%,167.44,169.35,161.35,1092342,09/10/20
EGAN,"Egain Corp",13.38,0.15,+1.13%,13.26,14.06,13.04,540319,09/10/20
EGBN,"Eagle Bancorp Inc",28.11,-0.42,-1.47%,28.8,28.91,28.11,109367,09/10/20
EGHT,"8X8 Inc",15.08,-0.22,-1.44%,15.48,15.85,15.01,1064491,09/10/20
EGLE,"Eagle Bulk Ship",2.61,0.03,+1.16%,2.6,2.71,2.55,155464,09/10/20
EGOV,"Nic Inc",20.36,-0.2,-0.97%,20.61,20.82,20.32,205012,09/10/20
EGP,"Eastgroup Properties",129.13,-1.4,-1.07%,130.44,130.56,129.02,173975,09/10/20
EGRX,"Eagle Pharmaceuticals",37.19,-0.11,-0.29%,37.3,38.01,37.05,202386,09/10/20
EHC,"Encompass Health Corp",63.56,-0.15,-0.24%,63.51,64.17,63.41,536417,09/10/20
EHTH,"Ehealth Inc",71.34,3.39,+4.99%,68.49,73.01,68.49,1302018,09/10/20
EIDX,"Eidos Therapeutics Inc",46.57,0.72,+1.57%,46.03,48.2,45.89,75299,09/10/20
EIG,"Employers Holdings Inc",30.77,-0.88,-2.78%,31.74,31.74,30.75,133282,09/10/20
EIGI,"Endurance Int Group",5.53,-0.13,-2.30%,5.72,5.78,5.43,443620,09/10/20
EIGR,"Eiger Biopharma",10.49,-0.11,-1.04%,10.78,11.14,10.43,852419,09/10/20
EIX,"Edison International",50.5,-1.04,-2.02%,51.42,51.57,50.5,2882161,09/10/20
EL,"Estee Lauder Companies",214.6,-3.91,-1.79%,219.54,220.56,213.95,957302,09/10/20
ELAN,"Elanco Animal Health Inc",27.23,-1.24,-4.36%,28.21,28.33,26.93,5825656,09/10/20
ELF,"E.L.F. Beauty Inc",18.53,-0.24,-1.28%,18.82,19.24,18.47,451628,09/10/20
ELOX,"Eloxx Pharmaceuticals Inc",2.84,0.03,+1.07%,2.88,2.93,2.82,16764,09/10/20
ELS,"Equity Lifestyle Properties",63.52,-0.99,-1.53%,64.26,64.66,63.33,753397,09/10/20
ELY,"Callaway Golf Company",19.45,-0.49,-2.46%,20.12,20.3,19.35,1170503,09/10/20
EME,"Emcor Group",69.41,-1.5,-2.12%,71.18,71.25,68.99,302581,09/10/20
EML,"Eastern Company",20.58,-0.66,-3.11%,21.24,22.04,20.3,5860,09/10/20
EMN,"Eastman Chemical Company",78.5,-1.3,-1.63%,79.81,80.19,78.18,1038830,09/10/20
EMR,"Emerson Electric Company",67.51,-1.19,-1.73%,68.86,69.17,67.2,2226638,09/10/20
ENDP,"Endo Int'l Plc",2.74,-0.02,-0.72%,2.78,2.83,2.73,2119417,09/10/20
ENPH,"Enphase Energy Inc",66.1,-1.61,-2.38%,67.93,70.09,66,2779347,09/10/20
ENR,"Energizer Holdings Inc",40.67,-2.93,-6.72%,43.67,44.61,40.62,1193417,09/10/20
ENS,"Enersys Inc",67.03,-2.12,-3.07%,69.34,69.46,66.97,195752,09/10/20
ENSG,"The Ensign Group IN",54.76,-1.57,-2.79%,56.46,56.89,54.68,225250,09/10/20
ENTA,"Enanta Pharmaceutica",46.23,-2.68,-5.48%,49.15,49.23,46.04,243763,09/10/20
ENTG,"Entegris Inc",64.99,0.19,+0.29%,65.24,65.9,64.59,1612188,09/10/20
ENV,"Envestnet Inc",77.21,-1.48,-1.88%,78.74,79.52,77.11,205179,09/10/20
ENVA,"Enova International Inc",16.63,-0.71,-4.09%,17.38,17.78,16.61,215921,09/10/20
ENZ,"Enzo Biochem",2.2,-0.02,-0.90%,2.27,2.3,2.19,292867,09/10/20
EOG,"Eog Resources",38,-3.86,-9.22%,41.82,41.82,37.99,7444922,09/10/20
EOLS,"Evolus Inc",3.59,-0.01,-0.28%,3.56,3.79,3.56,374471,09/10/20
EPAC,"Actuant Corp",20.96,-0.41,-1.92%,21.39,21.39,20.94,153284,09/10/20
EPAM,"Epam Systems Inc",318.47,-0.45,-0.14%,322.5,327.48,317.79,358206,09/10/20
EPAY,"Bottomline Tech IN",41.79,-0.85,-1.99%,42.82,43.43,41.67,365784,09/10/20
EPC,"Edgewell Personal Care",28.31,-0.47,-1.63%,28.89,29.24,28.27,420707,09/10/20
EPM,"Evolution Petroleum Corp",2.55,-0.1,-3.77%,2.6,2.71,2.49,131978,09/10/20
EPR,"Entertainment Properties Trust",32.73,-0.45,-1.36%,32.98,33.48,32.7,877971,09/10/20
EPRT,"Essential Properties Realty Trust Inc",18.52,-0.38,-2.01%,18.88,19.09,18.5,496608,09/10/20
EPZM,"Epizyme Inc",12.14,-0.56,-4.41%,12.72,13.03,12.05,855428,09/10/20
EQBK,"Equity Bncsrs Cm A",16.26,0.05,+0.31%,16.05,16.38,16.05,31306,09/10/20
EQC,"Equity Commonwealth",30.58,-0.32,-1.04%,30.85,30.88,30.56,692937,09/10/20
EQH,"Axa Equitable Holdings Inc",19.28,-0.72,-3.60%,20.09,20.2,19.27,3046898,09/10/20
EQIX,"Equinix Inc",742.87,-10.55,-1.40%,752.23,753.81,742,274759,09/10/20
EQR,"Equity Residential",55.81,-1.03,-1.81%,56.55,56.7,55.17,6098131,09/10/20
EQT,"Eqt Corp",14.07,-0.7,-4.74%,14.86,14.86,13.93,4114044,09/10/20
ERIE,"Erie Indemnity Company",220.29,-0.29,-0.13%,221.33,222.66,219.53,55652,09/10/20
ERII,"Energy Recovery Inc",8.8,-0.06,-0.62%,8.88,8.99,8.74,218272,09/10/20
EROS,"Eros International Plc",2.73,-0.07,-2.50%,2.83,2.85,2.67,1999362,09/10/20
ES,"Eversource Energy",83.34,-2.45,-2.86%,85.54,85.61,83.29,1343627,09/10/20
ESCA,"Escalade Inc",17.48,-0.17,-0.96%,17.65,18,17.16,65957,09/10/20
ESE,"Esco Technologies Inc",86.52,-0.12,-0.14%,86.74,87.32,86.09,90042,09/10/20
ESGR,"Enstar Group Ltd",164.77,-5.9,-3.46%,170.43,178.23,164.57,36869,09/10/20
ESI,"Element Solutions Inc",11.51,0.06,+0.52%,11.45,11.53,11.28,1512788,09/10/20
ESNT,"Essent Group Ltd",37.31,-0.09,-0.24%,37.52,38.17,36.99,873502,09/10/20
ESPR,"Esperion Theraptc",38.54,0.56,+1.47%,37.98,39.25,37.98,313382,09/10/20
ESQ,"Esquire Financial Holdings Inc",15.99,-0.33,-2.02%,16.52,16.56,15.92,12620,09/10/20
ESRT,"Empire State Realty Trust Inc",6.01,-0.11,-1.80%,6.12,6.25,6.01,3285054,09/10/20
ESS,"Essex Property Trust",215.99,-2.52,-1.15%,219.33,221.3,215.44,576731,09/10/20
ESSA,"Essa Bancorp Inc",13.2,-0.51,-3.72%,13.64,13.64,13.17,10906,09/10/20
ESTC,"Elastic N.V.",101.88,-0.18,-0.18%,102.82,105.04,101.47,746490,09/10/20
ESTE,"Earthstone Energy",2.56,-0.02,-0.78%,2.61,2.61,2.54,130611,09/10/20
ESXB,"Community Bankers",5.01,-0.03,-0.60%,5.05,5.09,5,47699,09/10/20
ETFC,"E*Trade Finl Corp",52.14,-0.8,-1.51%,53.34,53.47,51.96,1760918,09/10/20
ETH,"Ethan Allen Interiors Inc",14.03,-0.07,-0.50%,14.34,14.57,14.01,391608,09/10/20
ETM,"Entercom Communications Corp",1.51,-0.03,-1.95%,1.54,1.58,1.51,856892,09/10/20
ETN,"Eaton Corp",101,-1.56,-1.52%,103,103.98,100.64,1299023,09/10/20
ETR,"Entergy Corp",95.85,-2.52,-2.56%,98.03,98.51,95.76,1005225,09/10/20
ETRN,"Equitrans Midstream Corp",9.44,-0.38,-3.87%,9.8,9.99,9.4,3294506,09/10/20
ETSY,"Etsy Inc",110.57,-2.14,-1.90%,113.48,118,110.25,4141048,09/10/20
EV,"Eaton Vance Corp",37.37,-1.11,-2.88%,38.53,38.53,37.01,513024,09/10/20
EVBG,"Everbridge Inc",120.5,-0.5,-0.41%,123.23,126.73,119.81,486454,09/10/20
EVBN,"Evans Bancorp",22.75,-0.1,-0.44%,23,23,22.7,8328,09/10/20
EVC,"Entravision Communications Corp",1.38,0,0.00%,1.39,1.41,1.32,265653,09/10/20
EVER,"Everquote Inc Cl A",40.02,-0.18,-0.45%,40.89,43.38,39.85,391412,09/10/20
EVFM,"Evofem Biosciences Inc",2.72,-0.29,-9.63%,3,3.01,2.63,10713397,09/10/20
EVH,"Evolent Health Inc Cl A Com",13.31,-0.09,-0.67%,13.49,14.04,13.28,720669,09/10/20
EVI,"Evi Industries Inc.",22.59,-1.17,-4.92%,23.71,23.91,22.59,6652,09/10/20
EVLO,"Evelo Biosciences Inc",4.52,-0.17,-3.62%,4.73,4.9,4.48,102280,09/10/20
EVOP,"Evo Payments Inc Cl A",25.5,-0.65,-2.49%,26.1,26.57,25.13,346279,09/10/20
EVR,"Evercore Partners Inc",61.04,-0.34,-0.55%,61.67,61.98,60.93,585710,09/10/20
EVRG,"Evergy Inc",52.06,-0.64,-1.21%,52.42,52.81,51.74,1192750,09/10/20
EVRI,"Everi Holdings Inc",7.61,0.01,+0.13%,7.61,7.99,7.55,1943372,09/10/20
EVTC,"Evertec Inc",34.11,-0.63,-1.81%,34.9,35.08,33.89,590059,09/10/20
EW,"Edwards Lifesciences Corp",82.64,-2.2,-2.59%,85.14,85.14,82.43,2271547,09/10/20
EWBC,"East West Bancorp",34.52,-0.86,-2.43%,35.68,35.8,34.4,614740,09/10/20
EXAS,"Exact Sciences Cor",73.94,-2.16,-2.84%,76.52,76.8,73.25,1290149,09/10/20
EXC,"Exelon Corp",35.84,-0.83,-2.26%,36.67,36.67,35.72,6072671,09/10/20
EXEL,"Exelixis Inc",20.89,-0.25,-1.18%,21.13,21.42,20.86,1265304,09/10/20
